module,alpha,seed,n_iters,total_steps,train_return_late,train_return_early,train_return_delta,train_task_score,train_capture_rate,train_pursuer_dist,eval_return,eval_task_score,eval_capture,eval_pursuer_dist,explained_variance,entropy,policy_loss,value_loss,approx_kl,clipfrac,grad_norm,ratio0_max,ratio0_min,nan_count,cap_c1_participation,marginal_c1_rate,knn_c1_sighted_frac,dist_full_sight,dist_sensor_limited
attention,1.0,0,625,2000000,117.49361609210891,-708.0263207958591,825.519936887968,0.18829239394990036,0.9344758064516129,0.8730446305931093,74.09629463590682,0.17082158032387912,0.32,0.8733116431283996,0.9539377295201824,0.7603904827948538,-0.00031996592289043716,0.005686369561590207,0.0004819885537244239,0.0030724294383147333,0.16404673084616658,1.0,1.0,0,0.3479939516129032,0.24218245967741933,0.9376066090118502,2.6166671460169937,1.2044565941549599
attention,1.0,1,625,2000000,140.20438546759468,-631.9124841074789,772.1168695750736,0.19819558927852712,0.9425403225806451,0.8516295197449865,364.44225665926933,0.3359513086155499,0.49250000000000005,0.46625011708296366,0.9502394785804134,0.6350280534836554,-0.00032166039976772606,0.0043085884907462626,0.00044744053702283447,0.0031981350858087403,0.1882212562546614,1.0,1.0,0,0.36390625,0.2534375,0.9360772315052246,2.572915434673909,1.1578551947986406
attention,1.0,2,625,2000000,118.49572601289519,-633.2477862604203,751.7435122733154,0.18542534779650577,0.9299395161290323,0.888210295260914,473.8306128717959,0.3730551872095681,0.5937499999999999,0.5916245452885049,0.9426663123792217,0.6619328271958137,-0.00026681348179112004,0.006171092471378176,0.00028848789760510475,0.0020271169380828994,0.10340809944055732,1.0,1.0,0,0.34709173387096776,0.24378528225806448,0.9369427268447413,2.5103967229565303,1.2226325785476833
attention,1.0,3,625,2000000,108.1437834871392,-671.4285384147398,779.572321901879,0.18296171715522916,0.9238911290322581,0.881154417833013,143.38305274769664,0.15028411532302877,0.37,1.4628974946192468,0.9463950068719925,0.66948382844848,-0.0002908549283963575,0.004398641539286894,0.0003502496941168834,0.002350403236971804,0.1239309168210433,1.0,1.0,0,0.3397832661290323,0.23931451612903226,0.9374553995555448,2.6147124945997233,1.2230454768432724
attention,1.0,4,625,2000000,116.88009249875623,-576.1024970623755,692.9825895611317,0.18078932683011417,0.9420362903225806,0.9271091785053573,-74.24269177392125,0.1242431893530061,0.2175,0.7509420766436959,0.9517122824345866,0.6536304457533744,-0.0003338964341092482,0.005023841260586849,0.0003903179608182406,0.0023722278246608186,0.12735673746154189,1.0,1.0,0,0.3445564516129031,0.24042338709677422,0.9337730845808984,2.589050067692033,1.244932844358827
attention_zm,0.0,0,625,2000000,-574.218234246777,-718.6285291102624,144.41029486348543,0.0,0.0,2.8073888571992995,-585.0441499054432,0.0,0.0,2.7460200744215397,0.8724730697370344,1.3552333197286053,-0.00010803316545293595,0.0269869399767729,9.454641120069502e-05,3.916330723210982e-05,0.03901302557919291,1.0,1.0,0,0.0,0.0,0.8896911412669767,4.091993812034207,5.15556325181838
attention_zm,0.0,1,625,2000000,-556.4576890718553,-741.7359262012666,185.2782371294113,0.00012862997456103536,0.006048387096774193,2.649158947833123,-462.7038535773754,0.0,0.0,2.108679193109274,0.8863320129532968,1.1187560329514166,-0.00016658713904039093,0.028238310821113992,0.00028292209127338995,0.00035589717612779023,0.04780256030480222,1.0,1.0,0,0.00043850806451612904,0.0002772177419354838,0.8202534933388234,3.696426790625818,5.6339089935056625
attention_zm,0.0,2,625,2000000,-529.286163437751,-734.6265624261672,205.34039898841615,6.034953439643493e-05,0.003528225806451613,2.340310954816881,-231.35266522318125,0.0,0.0,1.0205329625774175,0.8948832452297211,1.3159742416874054,-0.00013041177867356303,0.022529106732878428,0.0001416429775885992,0.0001638104837359979,0.04708714032125084,1.0,1.0,0,0.00019153225806451614,5.5443548387096784e-05,0.8081279168494285,3.2277885369235464,5.526194800676839
attention_zm,0.0,3,625,2000000,-516.4243868474038,-735.036163237787,218.61177639038328,3.395568476021632e-05,0.004032258064516129,2.248080826238278,-433.71646799892187,0.0,0.0,2.7829069310682826,0.9198825474708311,1.3189027290190423,-0.00019107642142510582,0.010938848583628527,0.00027386099487862356,0.0008366431438492099,0.05710444722564945,1.0,1.0,0,0.0001058467741935484,4.0322580645161284e-05,0.8711629146241372,3.1916240158004148,5.182212470346882
attention_zm,0.0,4,625,2000000,-504.62437220446526,-694.102826733743,189.4784545292777,4.654376326070645e-05,0.0030241935483870967,2.1893733855697413,-610.9501896798611,0.0,0.0,2.9161164205148817,0.9273932008974014,1.1999404870694683,-0.0001912634156917439,0.010924201165025463,0.00027923842351315923,0.0005233870946892204,0.05649899396925198,1.0,1.0,0,0.00014616935483870966,3.5282258064516126e-05,0.8552700563976844,3.0343305089877495,5.558841094316977
