module,alpha,train_return_late_mean,train_return_late_std,train_return_late_count,train_return_delta_mean,train_return_delta_std,train_return_delta_count,train_task_score_mean,train_task_score_std,train_task_score_count,train_capture_rate_mean,train_capture_rate_std,train_capture_rate_count,train_pursuer_dist_mean,train_pursuer_dist_std,train_pursuer_dist_count,eval_return_mean,eval_return_std,eval_return_count,eval_task_score_mean,eval_task_score_std,eval_task_score_count,eval_capture_mean,eval_capture_std,eval_capture_count,eval_pursuer_dist_mean,eval_pursuer_dist_std,eval_pursuer_dist_count,explained_variance_mean,explained_variance_std,explained_variance_count,entropy_mean,entropy_std,entropy_count,policy_loss_mean,policy_loss_std,policy_loss_count,value_loss_mean,value_loss_std,value_loss_count,approx_kl_mean,approx_kl_std,approx_kl_count,clipfrac_mean,clipfrac_std,clipfrac_count,grad_norm_mean,grad_norm_std,grad_norm_count,cap_c1_participation_mean,cap_c1_participation_std,cap_c1_participation_count,marginal_c1_rate_mean,marginal_c1_rate_std,marginal_c1_rate_count,knn_c1_sighted_frac_mean,knn_c1_sighted_frac_std,knn_c1_sighted_frac_count,dist_full_sight_mean,dist_full_sight_std,dist_full_sight_count,dist_sensor_limited_mean,dist_sensor_limited_std,dist_sensor_limited_count
broadcast,0.0,-419.5562392583778,28.196345526065606,5,298.25861453135167,20.43991101382651,5,0.0003705114507792335,0.0003220318122072569,5,0.019153225806451613,0.013844840418165697,5,1.9052381500255677,0.11808262087614434,5,-344.37429114282133,144.78438153028677,5,0.009246558753454934,0.02067593393067095,5,0.01975,0.04416234255562084,5,1.7291353481870608,0.4758840077979537,5,0.8982245083778135,0.013184746642193863,5,1.1176516971665045,0.03101140369116946,5,-0.00019987956125751437,2.115152460164986e-05,5,0.010285953193332111,0.0027313420101686046,5,0.00033419142856498516,7.437067685220535e-05,5,0.0009705241893149441,0.00034016146607512317,5,0.06770210621818415,0.0070493433229903875,5,0.0010241935483870969,0.0008504818144027611,5,0.0005262096774193549,0.0004680530502099885,5,0.8592386627947132,0.022547694688931638,5,2.9912774986047896,0.12750955568641956,5,3.869849943403275,0.3321714138832084,5
broadcast,0.25,20.580049828938666,142.4054253339103,5,660.7725880468985,129.60878652420212,5,0.1438874763622217,0.06134924965568399,5,0.7983870967741935,0.21100388090096336,5,1.039342054925138,0.18659638408791082,5,107.3506762765348,198.5049239588401,5,0.1720594495947161,0.10347172927669893,5,0.3185,0.17486914750750057,5,0.8835537130651063,0.4199737937636904,5,0.9374608687816128,0.010714004349354489,5,0.7948303674882458,0.13973470386875586,5,-0.00023813934311812322,1.0651446810714873e-05,5,0.009351408105839235,0.006914174783254609,5,0.00033425707665790005,4.1634636777739006e-05,5,0.0015126310484922427,0.0004959662418160249,5,0.1209681030759407,0.03703164553912439,5,0.2806350806451613,0.11183374922197199,5,0.19212600806451613,0.07626546019192307,5,0.9220556302647436,0.007569260956469846,5,2.709678971021887,0.20608112833822753,5,1.4649933858881554,0.24865637866871332,5
broadcast,0.5,117.29073322379301,19.430231589981904,5,717.0474834951902,64.409286239059,5,0.18495174950653634,0.008837476401999698,5,0.9303427419354838,0.014019890788951632,5,0.9101603530195931,0.016157471587077626,5,218.07631483152508,224.94339875534433,5,0.23937300602140227,0.11339384771261689,5,0.42350000000000004,0.15019622581809436,5,0.865582766667474,0.43045592081778017,5,0.9446843674105982,0.0058312153427392795,5,0.7360642642359579,0.06697882240960237,5,-0.0002298379162695961,6.368015500674563e-06,5,0.005634479949010427,0.0014041146085856623,5,0.00029202935818501894,3.0241674946178355e-05,5,0.0012837600818672494,0.0003454113802529466,5,0.11507224688126191,0.016103782925712115,5,0.3492389112903226,0.014122591270791634,5,0.24387096774193545,0.010010089527901106,5,0.9366032973739408,0.002349162058992032,5,2.6149343456347145,0.10256961916114678,5,1.237656590223312,0.01632918418098968,5
broadcast,0.75,117.56142668204923,17.88541597869795,5,741.9978140240715,53.93161387176434,5,0.18525016991715798,0.009340875519846432,5,0.9318548387096774,0.010865373713256217,5,0.906997984017576,0.030862816642880656,5,154.91492932997645,249.4584654299601,5,0.21031610784794424,0.13080354743584813,5,0.3625,0.17642500177129092,5,0.900747939057881,0.45711836202262107,5,0.9467867789729949,0.003956057745353512,5,0.7149279762275758,0.07262432968551008,5,-0.00022332680421695397,2.253030076512476e-05,5,0.005475053091518412,0.000936661530318864,5,0.00029092341050355097,8.951140101036478e-05,5,0.001280584678160855,0.0006231267547121034,5,0.10453422636394535,0.02169881748030263,5,0.3494344758064516,0.013646142304547028,5,0.2443891129032258,0.01026678535689792,5,0.9369673524479711,0.00189492214353038,5,2.622391707891899,0.0640298991154719,5,1.2351067869117665,0.033894985443729785,5
broadcast,1.0,115.46732543812644,15.797687225908264,5,738.0732443085601,60.41202557685235,5,0.1847943705503349,0.008277619495697516,5,0.9288306451612904,0.01049670624036232,5,0.9076293147145019,0.02447884006912709,5,209.99890145547687,202.92634991761966,5,0.23038405278937407,0.09137995798112585,5,0.41425,0.13590437814875575,5,0.8491572272831108,0.35920402007722496,5,0.9393947341749745,0.007915335070056808,5,0.7380824325353867,0.028346280283914654,5,-0.00021566183548918128,1.720250835930497e-05,5,0.005468430836054057,0.0010193374846893385,5,0.00027264090105029155,4.891186668898101e-05,5,0.0013367237920030885,0.0003358686124185066,5,0.11470364185711066,0.01840782440555695,5,0.3485342741935484,0.012046689621578366,5,0.2440967741935484,0.0087948454245126,5,0.9372061197200129,0.0021585845846843685,5,2.63497524747637,0.04380639720064004,5,1.2402503445468123,0.03564864678204276,5
broadcast_zm,0.0,-511.2937045424695,6.693342829888534,5,203.81240711476534,16.610871719570962,5,4.1673697327929455e-05,4.502899188088444e-05,5,0.0034274193548387093,0.0032155519975275364,5,2.1526607551805435,0.014636434521075601,5,-446.2670191794634,99.5442141327501,5,0.0,0.0,5,0.0,0.0,5,1.9162877006329364,0.582206114891491,5,0.9115131689656165,0.010265938313711937,5,1.2509688786537416,0.035144175013114294,5,-0.0001506438212509964,1.4505616127269324e-05,5,0.015467793488454385,0.0024271517953851902,5,0.00018279147819711962,5.348380895981676e-05,5,0.00016574596773528266,0.0001673178622956612,5,0.04873546688126456,0.003983146970219148,5,0.00012903225806451613,0.00013979968678741196,5,5.5443548387096784e-05,4.755030812528531e-05,5,0.8502085640267019,0.02672054577639656,5,3.062791447032844,0.03720054357102475,5,5.498894084776602,0.11897060321896584,5
broadcast_zm,0.25,-38.671056753922734,36.3058991380936,5,586.6530431809475,27.537067727720817,5,0.13579596620079853,0.01701017462437817,5,0.7032258064516129,0.03519105435542851,5,0.9864034507274628,0.05643603986477886,5,174.97115207090974,286.8254166021768,5,0.22844722269027867,0.1281112008274172,5,0.40175,0.1921091811965269,5,0.8267514417784987,0.3886424324912783,5,0.9487106157887366,0.0074453045710780276,5,0.9574122245850102,0.08866249437479427,5,-0.00024211540609126665,2.3880633629128375e-05,5,0.011152269519084355,0.002876056537468742,5,0.0004574565273523561,9.013760693862731e-05,5,0.0020430745965988205,0.000822073420007068,5,0.1526058479278318,0.0381128501000275,5,0.26398588709677423,0.026962986322633883,5,0.1681290322580645,0.015977119543528498,5,0.8798609275452552,0.014588745135973736,5,2.609163116654802,0.06096470706655176,5,1.8285867574419226,0.12649690667730365,5
broadcast_zm,0.5,134.61388695456327,9.094157177021607,5,724.7659365744842,57.99118857524849,5,0.19701170693449754,0.0037437353126358246,5,0.9373991935483872,0.004930764960240176,5,0.8614934192316668,0.009620460142645027,5,223.729230838269,222.90365347642148,5,0.24150404729884026,0.10708766990337179,5,0.42575,0.15306657048487107,5,0.8271563327321783,0.3802610362225394,5,0.9454485399107779,0.0040299894163551295,5,0.7432127478622621,0.03678282593702402,5,-0.00022959167899180792,2.0677524688318538e-05,5,0.005165048052496678,0.0007590798866553679,5,0.000385310248798339,4.548957250114839e-05,5,0.002254566533818162,0.00023851730124067302,5,0.18051261187681267,0.026008307057305967,5,0.3627963709677419,0.0062819319960335535,5,0.2536078629032258,0.00428976077764587,5,0.9360106993567558,0.002457627188468901,5,2.5686339000747087,0.06595656752730569,5,1.1928363510057811,0.015446358428139566,5
broadcast_zm,0.75,135.06933634461416,8.745165599920837,5,748.5619467922517,51.91642243096662,5,0.1964439471085554,0.004909574577463541,5,0.9410282258064516,0.007585643620611088,5,0.8564196756448477,0.01664871805885499,5,224.99237805195153,226.3935245782235,5,0.24605266624415778,0.11363502409685453,5,0.426,0.15376117845542156,5,0.8096573717746651,0.38908539851960366,5,0.9447058927628301,0.004598915808642276,5,0.6972331465828803,0.039543097778975,5,-0.00021094347994133207,2.928580710263358e-05,5,0.004849063288420388,0.0006176028220663167,5,0.0003135478888022995,9.455666784166361e-05,5,0.0015571673384516642,0.0006848093237340081,5,0.13227733263205135,0.02737304137962441,5,0.3607479838709677,0.00600227148357784,5,0.2518306451612903,0.0037719118569346463,5,0.9364755611573496,0.002285532045489879,5,2.55207439201926,0.04674128995587262,5,1.1840101701379302,0.02729951811346497,5
broadcast_zm,1.0,127.93643271101098,14.198714173367032,5,745.1991846779181,58.524995409339006,5,0.1933650964248361,0.0076072154972452516,5,0.9355846774193548,0.008223607193352033,5,0.8624278842446303,0.026171995367019394,5,216.71067448481918,212.13600492657295,5,0.23679966942594102,0.09759941031398332,5,0.41974999999999996,0.14522719270164247,5,0.8230136386788217,0.36733509625011224,5,0.9407003402709961,0.005089404053547982,5,0.7210972046659838,0.0245090445045225,5,-0.00020310787762017277,1.0513418382174453e-05,5,0.005360288377325455,0.0006924948854912814,5,0.00027512567188863276,6.156461912761437e-05,5,0.0011137197603684388,0.0004793646076542457,5,0.11949462090769118,0.03459345781918871,5,0.35610584677419355,0.009206302416424013,5,0.24916834677419356,0.005697220222159929,5,0.936925445602786,0.0019154527223512788,5,2.5848037269302915,0.04672378669616633,5,1.192363784544891,0.03602227679216783,5
