=============================
Job ID:       599229
Array Task:   13
Node:         evc39
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=1/i=3 --discrete
Using device: cpu
Env: PCP | 1S + 3I | world=5.0 | max_steps=80

  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7501 reward_min=-1.4925 reward_max=1.5435
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6926 reward_global_std=0.2911
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6699 reward_min=-1.0547 reward_max=-0.2872
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6698 reward_min=-1.0556 reward_max=-0.2875
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6697 reward_min=-1.0569 reward_max=-0.2873
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7330 reward_min=-1.4130 reward_max=1.5285
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6745 reward_global_std=0.3186
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.1212 reward_max=-0.3570
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6778 reward_min=-1.1209 reward_max=-0.3578
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6777 reward_min=-1.1205 reward_max=-0.3579
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7213 reward_min=-1.3505 reward_max=1.7735
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6794 reward_global_std=0.3100
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6833 reward_min=-1.2228 reward_max=-0.3501
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6831 reward_min=-1.2227 reward_max=-0.3499
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6829 reward_min=-1.2229 reward_max=-0.3497
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7505 reward_min=-1.3617 reward_max=1.5373
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6807 reward_global_std=0.3173
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6644 reward_min=-1.0822 reward_max=1.6379
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6643 reward_min=-1.0809 reward_max=1.6393
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6640 reward_min=-1.0791 reward_max=1.6415
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7597 reward_min=-1.4576 reward_max=1.5021
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6904 reward_global_std=0.2828
