iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
12,41600,-496.0015616416931,-4.960015454292297,416,-0.002268301273366369,0.08037023842334748,2.132197904586792,0.016594839096069337,0.04956254251301288,0.04956254251301288,0.1401478312909603,0.0011999355534507677,0.004041666651028208,0.008031189441680908,1.0,0.0007,0
13,44800,-528.4127349853516,-5.284127397537231,448,-0.003107027969323184,0.05918763317167759,2.127455544471741,0.005212233960628509,0.05440586321055889,0.05440586321055889,0.13604819253087044,0.002682047118288143,0.027697916864417492,-0.01207733154296875,1.0,0.0007,0
14,48000,-483.3763403892517,-4.833763513565064,480,-0.0021730093360140756,0.038944128528237344,2.121643567085266,-0.003917380422353745,0.050403522327542305,0.050403522327542305,0.10289647988975048,0.0015580896801120543,0.01108333325246349,0.35931509733200073,1.0,0.0007,0
15,51200,-511.59798097610474,-5.115979681015014,512,-0.002494616758000845,0.04204039573669434,2.1268110990524294,-0.002742529287934303,0.04429315291345119,0.04429315291345119,0.10994771644473075,0.0020769826820478065,0.014750000048661605,0.13315552473068237,1.0,0.0007,0
16,54400,-507.1144857406616,-5.071144733428955,544,-0.0014473570576615912,0.03366569671779871,2.1247123956680296,-0.005861632339656353,0.04673820398747921,0.04673820398747921,0.06460831016302108,0.0014145975677829377,0.008229166688397526,0.41438204050064087,1.0,0.0007,0
17,57600,-526.1784782409668,-5.261784977912903,576,-0.0024759824721840573,0.03284692987799644,2.1152559757232665,-0.007205076515674591,0.04635423272848129,0.04635423272848129,0.07952540293335915,0.002566274138372183,0.020437499752733856,0.4219220280647278,1.0,0.0007,0
18,60800,-561.3955354690552,-5.613955316543579,608,-0.002174201358226213,0.02580179665237665,2.1158103227615355,-0.010431405901908875,0.052982932329177855,0.052982932329177855,0.08835362568497658,0.001631847881800278,0.009187499816471245,0.5625351667404175,1.0,0.0007,0
19,64000,-608.931450843811,-6.089314556121826,640,-0.0025122802437977042,0.03539194874465466,2.0871005296707152,-0.005687311198562384,0.04787205718457699,0.04787205718457699,0.11966868937015533,0.0021473263142989286,0.014729166563483886,0.5028122663497925,1.0,0.0007,0
20,67200,-584.785436630249,-5.8478542947769165,672,-0.0018345181350984507,0.03093922361731529,2.0816999197006227,-0.007181904837489128,0.04277942813932896,0.04277942813932896,0.10712955594062805,0.001572845502233629,0.0073645833879709246,0.4066017270088196,1.0,0.0007,0
21,70400,-572.2777633666992,-5.722777681350708,704,-0.0022757355961751102,0.01765172481536865,2.0812771320343018,-0.014262643922120333,0.048719650506973265,0.048719650506973265,0.05347413383424282,0.0018278850984653407,0.010416666709352285,0.6561217904090881,1.0,0.0007,0
22,73600,-601.3062753677368,-6.013062963485718,736,-0.002827693205132675,0.027101390063762665,2.0668697595596313,-0.009945695381611585,0.05582050755620003,0.05582050755620003,0.07501906119287013,0.002951415236021745,0.02910416715312749,0.5581655502319336,1.0,0.0007,0
23,76800,-592.9884405136108,-5.929884510040283,768,-0.0014610223232496722,0.02368789240717888,2.039625310897827,-0.010013328958302736,0.03858233280479908,0.03858233280479908,0.07687000334262847,0.002014166771551783,0.009562499943422153,0.6340901851654053,1.0,0.0007,0
