iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
108,348800,-482.76594734191895,-4.827659397125244,3488,-0.0016020665421789815,2148.0640716552734,2.059629797935486,1074.0098342895508,70.00035600969568,0.000892200524504697,0.0010156250282307155,-0.00014388561248779297,1.0,0.0005,2
109,352000,-466.60138607025146,-4.666013650894165,3520,-0.0007669644879477744,2005.853271484375,2.0618087500333786,1002.9052619934082,67.177941523958,0.0011088142762225763,0.0016145833033078816,-0.0004153251647949219,1.0,0.0005,2
110,355200,-474.77785873413086,-4.747778587341308,3552,-0.0008597949500714908,2103.026412963867,2.0506819784641266,1051.4918403625488,69.01237281924114,0.0012913503121587864,0.0028645833153859712,-0.00037300586700439453,1.0,0.0005,2
111,358400,-457.129093170166,-4.571290893554687,3584,-0.0004173499659323454,1948.2602233886719,2.0373029857873917,974.1093368530273,66.1321064317599,0.0010756965953085066,0.0005468749950523488,-0.00030100345611572266,1.0,0.0005,2
112,361600,-470.3290071487427,-4.703289971351624,3616,-0.00041654066536922496,1991.504638671875,2.021225184202194,995.7316932678223,67.72526253852993,0.0005555426657799886,0.00031250001484295353,-9.739398956298828e-05,1.0,0.0005,2
113,364800,-448.98585319519043,-4.489858441352844,3648,-0.00019380693561910078,1834.4268951416016,2.031337931752205,917.1929397583008,63.91587002854794,0.0008989380346527433,0.0004687500113504939,-0.00026297569274902344,1.0,0.0005,2
114,368000,-449.7950601577759,-4.497950530052185,3680,-6.918012724765887e-05,1740.3428421020508,2.040120244026184,870.1509475708008,63.87219461845234,0.00044643299099862384,0.00015625000378349796,-2.562999725341797e-05,1.0,0.0005,2
115,371200,-429.6124062538147,-4.2961240482330325,3712,-0.00022959129218937113,1683.4626922607422,2.031830608844757,841.7108039855957,60.631090834736824,0.0008180794122843884,0.00015624999650754035,-0.0002837181091308594,1.0,0.0005,2
116,374400,-464.3163924217224,-4.64316390991211,3744,-0.0002946827597285484,1959.5871200561523,2.0234967917203903,979.7730293273926,66.54837259463966,0.0008455587781107264,0.0003906249985448085,8.744001388549805e-05,1.0,0.0005,2
117,377600,-497.6259832382202,-4.976259765625,3776,-0.0008617201466525892,2337.807418823242,2.006462760269642,1168.8827819824219,70.70530025381595,0.001672343849464471,0.011093749853898771,-0.00028073787689208984,1.0,0.0005,2
118,380800,-450.80235481262207,-4.508023505210876,3808,-0.0004859992920867029,1859.066421508789,2.0199597030878067,929.512523651123,64.95846383133903,0.0007315963646313699,0.0013281250285217538,-0.0002999305725097656,1.0,0.0005,2
119,384000,-461.71111488342285,-4.617111086845398,3840,0.00017989721471156628,1912.574821472168,2.0283491909503937,956.2672958374023,65.764299553819,0.0013175695646631058,0.003880208339978708,-0.00024771690368652344,1.0,0.0005,2
120,387200,-479.5346155166626,-4.795346283912659,3872,-0.0005128621496988117,2117.3426361083984,2.017430916428566,1058.6506462097168,68.51445257291198,0.0007518022001712288,0.0013802083522023167,-8.034706115722656e-05,1.0,0.0005,2
121,390400,-447.94318151474,-4.479431929588318,3904,-0.00047294196368052877,1756.0349960327148,2.020334154367447,877.9968223571777,63.920541307423264,0.0014486384300206525,0.0031249999592546374,-0.00017571449279785156,1.0,0.0005,2
122,393600,-499.00000762939453,-4.990000190734864,3936,-4.868787779443995e-05,2284.6676177978516,2.0195532590150833,1142.3135528564453,71.55469017662108,0.0009837904399326715,0.0007812500116415322,-0.00012302398681640625,1.0,0.0005,2
123,396800,-457.367919921875,-4.57367919921875,3968,-0.00025677852974048676,1916.8979110717773,2.0348866879940033,958.428337097168,65.6244877493009,0.0009161679259940552,0.0021875000493309926,-0.0005394220352172852,1.0,0.0005,2
