[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 4/70: identity seed4 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/identity/seed4  Start: Sat Jun 27 16:55:04 EDT 2026
Sat Jun 27 16:55:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   25C    P0             25W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=4 warmup=5000 batch=256 target_update(updates)=200 render=off
step=  600000 ep_ret=-40.486 eval_ret=-49.253 pursuer_target_distance=3.000 capture=0.003 cap=0.031 td_loss=0.6504 q_tot=+8.139 tgt=+8.137 gnorm=130.14 w_min=2.61e-08 eps=0.050 buf=100000 upd=18594 seed=4
step=  620000 ep_ret=-31.680 eval_ret=-42.085 pursuer_target_distance=2.970 capture=0.004 cap=0.031 td_loss=0.6620 q_tot=+7.690 tgt=+7.689 gnorm=135.48 w_min=1.58e-08 eps=0.050 buf=100000 upd=19219 seed=4
step=  640000 ep_ret=-35.392 eval_ret=-50.630 pursuer_target_distance=2.890 capture=0.004 cap=0.027 td_loss=0.7255 q_tot=+7.792 tgt=+7.789 gnorm=138.83 w_min=7.45e-09 eps=0.050 buf=100000 upd=19844 seed=4
step=  660000 ep_ret=-33.367 eval_ret=-39.564 pursuer_target_distance=3.149 capture=0.002 cap=0.021 td_loss=0.7096 q_tot=+6.719 tgt=+6.717 gnorm=134.40 w_min=4.84e-08 eps=0.050 buf=100000 upd=20469 seed=4
step=  680000 ep_ret=-26.369 eval_ret=-47.026 pursuer_target_distance=3.244 capture=0.003 cap=0.031 td_loss=0.7531 q_tot=+6.358 tgt=+6.354 gnorm=146.24 w_min=4.47e-08 eps=0.050 buf=100000 upd=21094 seed=4
step=  700000 ep_ret=-33.741 eval_ret=-43.125 pursuer_target_distance=3.161 capture=0.001 cap=0.026 td_loss=0.7249 q_tot=+6.086 tgt=+6.083 gnorm=148.91 w_min=2.24e-08 eps=0.050 buf=100000 upd=21719 seed=4
step=  720000 ep_ret=-35.413 eval_ret=-52.684 pursuer_target_distance=2.988 capture=0.001 cap=0.013 td_loss=0.6964 q_tot=+6.125 tgt=+6.120 gnorm=152.37 w_min=7.45e-09 eps=0.050 buf=100000 upd=22344 seed=4
step=  740000 ep_ret=-11.203 eval_ret=-54.565 pursuer_target_distance=3.289 capture=0.003 cap=0.010 td_loss=0.6154 q_tot=+5.684 tgt=+5.682 gnorm=139.48 w_min=2.98e-08 eps=0.050 buf=100000 upd=22969 seed=4
step=  760000 ep_ret=-31.037 eval_ret=-48.730 pursuer_target_distance=3.013 capture=0.002 cap=0.021 td_loss=0.6106 q_tot=+5.535 tgt=+5.534 gnorm=142.01 w_min=1.49e-08 eps=0.050 buf=100000 upd=23594 seed=4
step=  780000 ep_ret=-37.523 eval_ret=-49.890 pursuer_target_distance=2.973 capture=0.000 cap=0.005 td_loss=0.5554 q_tot=+5.187 tgt=+5.187 gnorm=137.76 w_min=4.56e-08 eps=0.050 buf=100000 upd=24219 seed=4
step=  800000 ep_ret=-34.355 eval_ret=-71.904 pursuer_target_distance=2.791 capture=0.006 cap=0.036 td_loss=0.6155 q_tot=+5.026 tgt=+5.023 gnorm=152.46 w_min=5.96e-08 eps=0.050 buf=100000 upd=24844 seed=4
step=  820000 ep_ret=-23.806 eval_ret=-48.350 pursuer_target_distance=2.995 capture=0.002 cap=0.021 td_loss=0.6777 q_tot=+4.655 tgt=+4.654 gnorm=158.01 w_min=3.28e-07 eps=0.050 buf=100000 upd=25469 seed=4
step=  840000 ep_ret=-35.425 eval_ret=-47.281 pursuer_target_distance=2.987 capture=0.006 cap=0.062 td_loss=0.7870 q_tot=+3.530 tgt=+3.529 gnorm=157.14 w_min=2.61e-08 eps=0.050 buf=100000 upd=26094 seed=4
step=  860000 ep_ret=-29.722 eval_ret=-41.445 pursuer_target_distance=2.902 capture=0.002 cap=0.016 td_loss=0.8020 q_tot=+2.991 tgt=+2.989 gnorm=158.04 w_min=5.96e-08 eps=0.050 buf=100000 upd=26719 seed=4
step=  880000 ep_ret=-42.538 eval_ret=-53.881 pursuer_target_distance=3.299 capture=0.002 cap=0.031 td_loss=0.8321 q_tot=+2.609 tgt=+2.609 gnorm=155.18 w_min=4.47e-08 eps=0.050 buf=100000 upd=27344 seed=4
step=  900000 ep_ret=-38.023 eval_ret=-54.862 pursuer_target_distance=3.366 capture=0.002 cap=0.021 td_loss=0.7503 q_tot=+2.587 tgt=+2.587 gnorm=155.43 w_min=5.96e-08 eps=0.050 buf=100000 upd=27969 seed=4
step=  920000 ep_ret=-33.896 eval_ret=-45.353 pursuer_target_distance=3.172 capture=0.004 cap=0.036 td_loss=0.7790 q_tot=+1.730 tgt=+1.725 gnorm=156.40 w_min=7.45e-09 eps=0.050 buf=100000 upd=28594 seed=4
step=  940000 ep_ret=-29.388 eval_ret=+52.349 pursuer_target_distance=2.800 capture=0.002 cap=0.026 td_loss=0.6885 q_tot=+1.762 tgt=+1.760 gnorm=147.74 w_min=1.49e-08 eps=0.050 buf=100000 upd=29219 seed=4
step=  960000 ep_ret=-41.590 eval_ret=+45.770 pursuer_target_distance=3.206 capture=0.002 cap=0.018 td_loss=0.6460 q_tot=+1.827 tgt=+1.823 gnorm=143.64 w_min=1.19e-07 eps=0.050 buf=100000 upd=29844 seed=4
step=  980000 ep_ret=-36.144 eval_ret=-55.855 pursuer_target_distance=3.158 capture=0.003 cap=0.021 td_loss=0.6529 q_tot=+1.990 tgt=+1.988 gnorm=147.22 w_min=1.12e-07 eps=0.050 buf=100000 upd=30469 seed=4
step= 1000000 ep_ret=-40.044 eval_ret=-39.744 pursuer_target_distance=3.200 capture=0.000 cap=0.010 td_loss=0.6556 q_tot=+1.663 tgt=+1.658 gnorm=151.62 w_min=2.98e-08 eps=0.050 buf=100000 upd=31094 seed=4
